Notes:,,,"If Mablab_keyword is empty, it means same as SPISim_Keyword or replace '_' wich space (Matlab is case sensitive)"
Category_Tab,SPISim_Keyword (cfg file),Matlab_Keyword (excel file),Comments
OP_IO_CTRL,BESSEL_THOMSON,,enable Bessel Thomsen filter for COM
,BUTTERWORTH,Butterworth,"enable Butterworth filter for TDR, PTDR, and ERL"
,CDR,,"CDR method, default is 'MM' (Mueller-Muller)"
,COM_PASS_THRESHOLD,COM Pass threshold,the pass fail threshold for COM in dB
,EC_DIFF_TOL,Enforce Causality DIFF_TOL,"Difference Tolerance parameter for causality, Hard enforcement, 1e-4,Soft enforcement, 1e-3"
,EC_PULSE_TOL,Enforce Causality pulse start tolerance,"Tolerance parameter for causality, Hard enforcement, 0.05, Soft enforcement, .01"
,EC_REL_TOL,Enforce Causality REL_TOL,"Difference Tolerance parameter for causality, Hard enforcement, 1e-4,Soft enforcement, 1e-3"
,EH_MAX,,used when PMD_type is C2M and is not really computed per spec
,EH_MIN,,used when PMD_type is C2M
,ENFORCE_CAUSALITY,,default is 0. Not recommended to use
,ERL_PASS_THRESHOLD,ERL Pass threshold,the pass fail threshold for ERL in dB
,ERR_PROPAGATION_COM_MARGIN,Error propagation COM margin,Use to calculate  error propogation (not normally used)
,FORCE_PDF_BIN_SIZE,Force PDF bin size,do not use
,HISTOGRAM_WINDOW_WEIGHT,Histogram_Window_Weight,"Weighting for VEC and VEO are histogram processing. Type are Gaussian,Dual Rayleigh,Triangle, and Rectangle (default)"
,IMPRSP_TRUNC_THRESHOLD,Impulse response truncatio threshold,Impulse response truncatio threshold
,INCLUDE_PCB,Include PCB,Used to add a PCB one each side of the passed s-parameters.
,MAX_BURST_LEN,nburst,Use to calculate burst error rate (not normally used)
,MIN_VEO_TEST,Min_VEO_Test,used when PMD_type is C2M. This allow EH to go blow EH_min. If set to Zero it is ignored
,N_V,N_v,number of UI used to compute Vf
,OPTIMIZE_LOOP_SPEED_UP,Optimize_loop_speed_up,"If set to 0 (or default) normal looping, If set to 1 loop speedup by slightly reducing PD Fbin and FIR_threshold for optimize looping only"
,PDF_BIN_SIZE,Force PDF bin size,do not use
,PORT_ORDER,Port Order,s parameter port order [ tx+ tx- rx+ rx-]
,RUNTAG,,This string is appended to the begining of results files
,SBR_GEN_METHOD,,Pulse generation method: use IBIS's slew rate or filtered rectangular pause
,SIGMA_R,sigma_r,sigma_r for 0.3ck Gaussian histogram window. Unit are UI. Preferred usage.
,TDECQ,,"Experimental, for only option is none (0) or vma. Default is 0."
,TDR_W_TXPKG,,"adds tx package for TDR, PTDR, and ERL. Default is 0."
,USE_ETA0_PSD,,Used eta_0 PSD equaiton for sigma_n. Default is 0. Do not use.
,VEC_PASS_THRESHOLD,VEC Pass threshold,the pass fail threshold for VEC in dB only used when PMD_type is C2M
TABLE_93A1,A_FE,A_fe,FEXT aggressor differential peak source output voltage (half of peak to peak)
,A_NE,A_ne,NEXT aggressor differential peak source output voltage (half of peak to peak)
,A_V,A_v,Victim differential peak source output voltage (half of peak to peak)
,AC_CM_RMS,,AC_CM_RMS is the CM BBN AWGN RMS at COM source point. Default is 0. Adds common mode noise source to the COM signal path for the through channel
,ACCM_MAX_FREQ,ACCM_MAX_Freq,F max for integrating ACCM voltage in Hz. Default is fb
,C_B,C_b,C_b in nF (single sided)
,C_D,C_d,C_d in nF (single sided)
,C_P,C_p,C_p in nF (single sided)
,C_V,,C_v in nF (via cap)  (single sided)
,DELTA_F,Delta_f,freqency step
,DER_0,,Target detector error ratio
,F_B,f_b,Baud (Signaling) rate in Gbaud
,F_MIN,f_min,minimum required frequency start for s parameters
,F_V,f_v,For FOM_ILD: Transiton rate cut off frequency for ICN/ILD calc in terms of fb
,L,,"number of symbols levels (PAM-4 is 4, NRZ is 2)"
,L_S,L_s,L_s in nH (single sided)
,LOCAL_SEARCH,Local Search,"Decreases COM compute time. Aetting to 2 seems ok ,if 0 search is full grid"
,M,,Samples per UI
,N_B_STEP,,"discreatiztion of DFE, 0 disables and is not normally used"
,N_BX,N_bx,Used for ERL to Compensate for a number of Ui assoicated with the DFE
,R_0,,reference impedance
,R_D,R_d,Die source termination resistance  (single sided)
,SAMPLES_FOR_C2M,samples_for_C2M,Finer sampling in terms of samples per UI for c2m histgram analysis.
,T_O,T_h,superceded with T_O but is the internal values that is used. Do not use.
,Z_PFEXT,z_p (FEXT),"List of FEXT transmitter package trace lengths in mm, one per case"
,Z_PNEXT,z_p (NEXT),"List of NEXT transmitter package trace lengths in mm, one per case"
,Z_PRX,z_p (RX),"List of FEXT receiver package trace lengths in mm, one per case"
,Z_PSELECT,z_p select,List of package length indexes used to run COM
,Z_PTX,z_p (TX),"List of victim transmitter package trace lengths in mm, one per case"
TABLE_93A3,PACKAGE_TL_GAMMA0_A1_A2,package_tl_gamma0_a1_a2,Fitting parameters for package model per unit length. First element is in 1/mm and affects DC loss of package model . Second element is in ns1/2/mm and affects loss proportional to sqrt(f). Third element is in ns/mm and affects loss proportional to f.
,PACKAGE_TL_TAU,package_tl_tau,Package model transmission line delay ns/mm
,PACKAGE_Z_C,package_Z_c,"Package model transmission line characteristic impedance [ Tx , Rx ]"
TABLE_9212,BOARD_TL_GAMMA0_A1_A2,board_tl_gamma0_a1_a2,Fitting parameters for package model per unit length. First element is in 1/mm and affects DC loss of package model . Second element is in ns1/2/mm and affects loss proportional to sqrt(f). Third element is in ns/mm and affects loss proportional to f.
,BOARD_TL_TAU,board_tl_tau,Board model transmission line delay ns/mm
,BOARD_Z_C,board_Z_c,"Board model transmission line characteristic impedance [ Tx , Rx ]"
,CB0,C_0,"If Include PCB is set to 1, near device single ended capacitance C0  in nF is added"
,CB1,C_1,"if Include PCB is set to 1, connector side single ended capacitance C1 in nF is added"
,Z_BPFEXT,z_bp (FEXT),Fext Assessor transmitter board trace lengths in mm
,Z_BPNEXT,z_bp (NEXT),Next Assessor transmitter board trace lengths in mm
,Z_BPRX,z_bp (RX),Victim receiver board trace lengths in mm
,Z_BPTX,z_bp (TX),Victim transmitter board trace lengths in mm
TDR_ERL,AUTO_TFX,,Mostly used for device ERL. If sent to 1 the fixture tfx will be estimated.
,BETA_X,beta_x,(for ERL) use default 0
,BT_ORDER,BTorder,Bessel function order
,ERL,,Enables ERL. Needs TDR to be set as well.
,ERL_ONLY,,Compute ERL only
,FIXTURE_BUILTIN_DELAY,,built-in fixture delay
,FIXTURE_DELAY_TIME,fixture delay time,fixture delay time (for ERL)
,N,,duration time in UI which is used for ERL (PTDR)
,RHO_X,rho_x,(for ERL) use default 0.618
,TDR_DURATION,,only used if N*UI is longer than the TDR duration time.  Default is 5 times the raw s-parameter transit time.
,TR_TDR,,Gaussian shaped transition time for TDR source in ns
,TUKEY_WINDOW,Tukey_Window,required for ERL. Set to 1. Default is 0.
,Z_T,,single sided source termination reference resistance for TDR and ERL
ICN_PARAM,A_FT,A_ft,FEXT aggressor amplitude for ICN. Defaults to A_fe if not specified
,A_NT,A_nt,NEXT aggressor amplitude for ICN. Defaults to A_ne if not specified
,F_1,f_1,start frequency for ICN and ILD calculations in GHz
,F_2,f_2,frequency in GHz for intergration compuation of ICN or FOM_Ild in GHz
,F_F,f_f,For ICN: Fext transiton rate cut off frequency for ICN calc in terms of fb
,F_N,f_n,For ICN: Next transiton rate cut off frequency for ICN calc in terms of fb
FILTER_EQ,B_MAX1,b_max(1),"DFE magnitude limit, first coefficient(ignored if Nb=0)"
,B_MAX2_N_B,b_max(2..N_b),"DFE magnitude limit, second coefficient and on (ignored if Nb<2). Can be a regualar expression"
,B_MIN1,b_min(1),DFE negative magnitude limit. If not specified it defaults to -bmax.
,B_MIN2_N_B,b_min(2..N_b),"DFE negative magnitude limit, if not specified it defaults to -b_max(2..N_b)"
,C_1,c(-1),TX equalizer pre cursor tap -1
,C_2,c(-2),TX equalizer pre cursor tap -2
,C_3,c(-3),TX equalizer pre cursor tap -3
,C_4,c(-4),TX equalizer pre cursor tap -4
,C0,c(0),"TX equalizer cursor minimum value (actual value is calculated as 1-sum(abs(tap)), Grid seat ingored for when C(0) is below this value"
,C1,c(1),TX equalizer post cursor tap 1
,C2,c(2),TX equalizer post cursor tap 2
,C3,c(3),TX equalizer post cursor tap 3
,CTLE_TYPE,,Sets the CTLE type default is poles and zeros (i.e. not a list of poles as in 120e)
,F_HP_P,,CFT pole fp2 is in GHz. Normally a list for 120e. Not normally use elsewise
,F_HP_PZ,f_HP_PZ,CFT pole pole zero pair in GHz for low frequency CTF
,F_HP_Z,,CFT pole pole zero pair in GHz for low frequency CTF
,F_P1,f_p1,CTLE pole 1 in GHz
,F_P2,f_p2,CTLE pole 2 in GHz
,F_R,f_r,reference receive filter in COM and in ICN/FOM_ILD calcs in terms of fb
,F_Z,f_z,CTLE zero in GHz
,G_DC,g_DC,AC-DC gain list
,G_DC_HP,g_DC_HP,CTF AC-DC gain list (GDC2)
,G_QUAL,G_Qual,G_Qual are the dB ranges of g_DC g DC )which correspond tog_DC_HP (g DC2)
,G2_QUAL,G2_Qual,G2_Qual limit values of g_DC_HP (g DC2 ) which corresponds to ranges of g_DC g DC specified with G_QUAL
,GDC_MIN,,"max ACDC gain, if 0 ignore"
,N_B,N_b,Decision feedback fixed equalizer (DFE) length
NOISE_JITTER,A_DD,,"Normalized peak dual-Dirac noise, this is half of the total bound uncorrelated jitter (BUJ) in UI"
,ETA_0,eta_0,One-sided noise spectral density (V^2/GHz).Input refered noise at TP5. Input referred noise at TP5
,R_LM,,Ratio of level separation mismatch. Relevant when not PAM-2 (NRZ).
,SIGMA_RJ,sigma_RJ,rms of of random jitter
,SNR_TX,,Transmitter SNDR noise in dB
RCV_NONSTD,FORCE_TR,,Included for earlier version support but should be set to 1 in most later config sheets.
,GRR,Grr,either do no use or set to 1 (for ERL)
,GRR_LIMIT,,either do no use or set to 1 (for ERL)
,GX,Gx,"ERL parameter param.Grr, This is used is the COM code"
,IDEAL_RX_TERM,,"IDEAL_RX_TERM not supported, instead, set Zp,Cd, and Cp parameters to zero and Zp select to 1"
,IDEAL_TX_TERM,,"not supported, instead, set Zp,Cd, and Cp parameters to zero and Zp select to 1"
,INC_PACKAGE,,"warning: INC_PACKAGE=0 not fully supported, instead, set Zp,Cd, and Cp parameters to zero and Zp select to 1"
,INCLUDE_CTLE,,do not use
,INCLUDE_TX_RX_FILTER,,do not use
,KAPPA1,kappa1,if set 0 reflection at tp0 are omitted from COM
,KAPPA2,kappa2,if set 0 reflection at tp5 are omitted from COM
,RX_CALIBRATION,,Turn on RX_Calibration loop
,SIGMA_BBN_STEP,Sigma BBN step,BBN step for Rx Calibration in volts. Defaults is 0.5e-3
,T_R,T_r,20% to 80% transition time used for the Gaussian shaped source
,T_R_FILTER_TYPE,,included for earlier version support. Not recommended to use.
,T_R_MEAS_POINT,,included for earlier version support. Not recommended to use.
FLOATING_TAPS,B_FLOAT_RSS_MAX,B_float_RSS_MAX,floating DFE tap start for RSS floating tap limit
,BMAXG,bmaxg,max DFE value for floating taps
,N_BF,N_bf,number of taps in group
,N_BG,N_bg,"number of group of floating tap. Used as a switch, 0 means no float"
,N_F,N_f,UI span for floating taps. replaced by N_bmax
,N_TAIL_START,N_tail_start,start range for max RSS limit for DFE taps
RX_FFE,CURSOR_GAIN,,only FFE and not supported
,FFE_BACKOFF,,see if better zero foreced solution is better by backing off the number specified FFE taps one at at time
,FFE_MAIN_CUR_MIN,,Rx FFE main cursor miminum
,FFE_POST_TAP_LEN,ffe_post_tap_len,Rx FFE post cursor tap length
,FFE_POST_TAP1_MAX,,Rx FFE post cursor tap1 limit
,FFE_PRE_TAP_LEN,ffe_pre_tap_len,Rx FFE pre cursor tap length
,FFE_PRE_TAP1_MAX,,Rx FFE pre cursor tap1 limit
,FFE_TAP_STEP_SIZE,,Rx FFE tap step size
,FFE_TAPN_MAX,,Rx FFE precursor tap N limit
